epoch,variant,train_loss_d,train_loss_g,train_loss_g_gan,train_loss_g_l1,train_loss_geom,val_loss_d,val_loss_g,val_loss_g_gan,val_loss_g_l1,val_loss_geom,val_mae,val_psnr,val_ssim,val_rotation_error
1,proposed,0.12900635436258828,19.320537720283454,0.9058156918435201,0.1789814733567029,0.05165747679552458,0.3763154224915938,8.817262142354792,0.6359179518439553,0.07930261387743733,0.025108281658454374,0.03965130704031749,23.114534052935515,0.45857066214084624,0.0251082816245881
2,proposed,0.1835062492462079,10.365722426532828,0.7064542818243487,0.09450395231264351,0.02088729313907832,0.2794187977910042,8.561361490596424,0.29055134017359124,0.07981637905944478,0.028917221327058294,0.03990818939425728,21.840005419471048,0.3990178170529279,0.028917221454056827
3,proposed,0.14073602614217323,10.111929890013089,0.8670649558958345,0.09038251643850856,0.02066133102660414,0.3115380108356476,7.628800158067183,0.17533821802247654,0.0731175989589908,0.01417021124877713,0.03655879968269305,24.109225381504405,0.5642992212013764,0.014170211181044579
4,proposed,0.16520505315236692,9.810454622672422,0.7792775639380417,0.08853824885330931,0.017735222014632537,0.3564756542444229,7.539157728715376,0.5829514655199918,0.06809605387124149,0.014660086990757422,0.03404802707108584,24.366138631647285,0.5754317444833842,0.01466008700769056
5,proposed,0.11481460125056388,9.353361175008065,0.8768154612613203,0.08311621570130334,0.016492409971508668,0.35357742417942395,7.570001840591431,0.6606642798943954,0.06781689619476144,0.012764799425547773,0.033908448131247,24.37394974448464,0.5865145404230464,0.012764799442480912
6,proposed,0.11382641158590134,9.290867467866327,0.8785945294547255,0.08224674482850262,0.018759845531661146,0.3201002698053013,7.381047218496149,0.20034615316174248,0.06997748894447631,0.018295217356221243,0.0349887445399707,24.371268900957975,0.5951735083352435,0.018295217271555555
7,proposed,0.07621294280079051,9.069480589706533,0.9312256580884875,0.0794120725162708,0.019704771928326058,0.2854092687368393,7.555499475652521,0.3898958588188345,0.06971717392179098,0.019388623264702885,0.034858586825430395,24.141537883064963,0.5392845212058588,0.01938862329856916
8,proposed,0.06071271185498059,8.839322807144944,0.9755424581413722,0.07652963850184949,0.02108164436190668,0.30203691883520645,7.183571962876753,0.379564368724823,0.06611376458948309,0.019263119275935672,0.033056882125410164,24.33349247412248,0.5964327142997221,0.019263119250535966
9,proposed,0.07385975707247582,8.688417264144785,0.9502968126568045,0.07514747634638835,0.022337280608115406,0.27080044773491946,7.236979020725597,0.42104408632625234,0.06598889536478303,0.02170453461056406,0.03299444775012406,24.40147228674455,0.6133289198983799,0.021704534644430333
10,proposed,0.08592169475571736,8.60583867121787,0.9339671887620522,0.07433795958866168,0.023807549998708016,0.32242974151264536,7.993232601339167,0.5669853297146884,0.07235439964993433,0.01908072890205817,0.03617719977416776,23.81836893341758,0.4977133983915502,0.01908072886819189
