epoch,variant,train_loss_d,train_loss_g,train_loss_g_gan,train_loss_g_l1,train_loss_geom,val_loss_d,val_loss_g,val_loss_g_gan,val_loss_g_l1,val_loss_geom,val_mae,val_psnr,val_ssim,val_rotation_error
1,proposed,0.058821343308243304,15.222548235071837,0.8450456974354706,0.1406771787680196,0.030978468918058014,0.2895592992857289,10.153872718359386,0.3474602163489399,0.09606676394686456,0.019973612426082945,0.04803338193271872,23.48589129135257,0.46250884214548466,0.019973612380280194
2,proposed,0.025003809865838576,11.41674178969251,0.9462498442157695,0.10345892887562513,0.012459904362488347,0.2834492674562232,8.973963682768774,0.3338924637692005,0.08540823102974501,0.009924809935287266,0.04270411552505089,24.5658571863435,0.4681702715315888,0.009924809950554848
3,proposed,0.03625808902039472,11.065065371729162,0.933969450881386,0.10008757573681591,0.012233834077237025,0.3225451051537456,8.72294359606689,0.27964835080618416,0.08268656635924984,0.01746386535235007,0.04134328314230416,24.54494317589779,0.4527255964816594,0.017463865404938415
4,proposed,0.026275614055189214,10.819883723328584,0.956519939703442,0.0973562219105389,0.012774159815706258,0.40435362676453723,8.499511914175065,0.10242359140694467,0.08273263607438797,0.012382471577717307,0.041366318062639955,24.576420929479685,0.4247474483772434,0.012382471555664132
5,proposed,0.011021398497045098,10.438745637009614,0.9786425192643257,0.09331493637096273,0.01286094680421707,0.24308377849056856,8.123084313231088,0.22360847043535098,0.07776184702370119,0.012329112930063885,0.03888092356613534,24.93287305362889,0.4962848272439235,0.012329112940242273
6,proposed,0.06844187474657336,10.436985114195052,0.899269828912383,0.09387899773453709,0.014981553404605573,0.2992200359620683,8.32449863343508,0.40427833133273655,0.07760969943660422,0.015925037776389733,0.03880484979294362,24.92385594136945,0.5387479898762398,0.01592503775094376
7,proposed,0.018767229477079837,10.268038119277815,0.9683335908442723,0.09135741299616486,0.016396322444822285,0.28515504107883505,7.418022431962477,0.31309500798067325,0.06939811318203508,0.016511611041624796,0.03469905648584086,25.55191764848914,0.576997952111649,0.016511611056892382
8,proposed,0.03514895295647145,10.11992625859532,0.950615099271568,0.08986498251638926,0.018281292518682397,0.30082756764033236,7.281794347832546,0.2767100280154164,0.06847987721295848,0.015709661279816878,0.034239938508088145,25.645882599123624,0.5658013228673101,0.015709661269638492
9,proposed,0.03768877852606596,9.86542315117634,0.9481448904310253,0.08721101587896582,0.019617667690218582,0.280323361492765,7.785086537970871,0.367739233814302,0.07229045493518069,0.018830180812783145,0.03614522748116153,25.332095807584473,0.5735728300442895,0.018830180822961534
10,proposed,0.04973191456557507,9.35438701662704,0.9409205184263549,0.08211570969327306,0.020189553191613432,0.29315495143605497,7.6809000187232845,0.5196029061828155,0.06979812740031054,0.018148437649595173,0.03489906367979849,25.523069604064162,0.5729322227189667,0.018148437651291573
11,proposed,0.0008520393602053565,8.801856201060497,0.9864837823122957,0.07646464836532182,0.0168907575472428,0.30704073219195654,6.955393960510475,0.503969059906144,0.06300493610509927,0.015093131112339704,0.03150246809304193,24.878674555515897,0.6304251260083654,0.015093131038103846
12,proposed,0.0011897904967780209,8.68271903922088,0.989267112999937,0.07526615006427695,0.01668368485912572,0.2735522944426191,6.729396163553432,0.3475771976121958,0.06230473785620669,0.01513451881085833,0.0311523688606162,24.883408123168394,0.6249458045847174,0.015134518817607044
13,proposed,1.8011432998353976e-05,8.475484921114289,0.991212870082716,0.07320329636661675,0.016394245220742523,0.271999952369842,6.925872481387595,0.373687165154927,0.06399907857395601,0.01522774863448264,0.03199953927348057,24.778912533884462,0.6433612231327139,0.01522774868172364
