epoch,variant,train_loss_d,train_loss_g,train_loss_g_gan,train_loss_g_l1,train_loss_geom,val_loss_d,val_loss_g,val_loss_g_gan,val_loss_g_l1,val_loss_geom,val_mae,val_psnr,val_ssim,val_rotation_error
1,unet,0.12957828682269493,18.465919383250885,0.8876259035437647,0.1757829354083451,0.0,0.26892095018516887,8.272195664319126,0.3953097487037832,0.07876885888928717,0.0,0.039384429681707515,23.242492242292926,0.4604860019954768,0.022690884989093652
2,unet,0.15346504586755577,10.336128248785535,0.7732558170211141,0.09562872410038092,0.0,0.2535323640162295,8.212372662804343,0.41945403245362367,0.07792918661778624,0.0,0.038964593190361156,23.70213608308272,0.45411252975463867,0.020452955940907652
3,unet,0.15157102934173206,9.898215398301174,0.8055441194098362,0.09092671309944488,0.0,0.2854445996609601,7.7282143852927465,0.4724045431072062,0.07255809832025659,0.0,0.03627904929559339,24.124599586833607,0.5623454650694674,0.01841026143255559
4,unet,0.16822445589749918,9.570937640475531,0.7880339832419027,0.08782903624385813,0.0,0.29056951295245775,7.382819340445779,0.5156288764693521,0.06867190409790386,0.0,0.034335952218283304,24.399303349581633,0.5873029120943764,0.018418509657071397
5,unet,0.21025575528832247,9.018292402699046,0.6335318846777626,0.08384760523582027,0.0,0.2435931774702939,7.0615617231889205,0.2497828570279208,0.06811778840016235,0.0,0.03405889453874393,24.247660008343782,0.5959993533112786,0.023248026316816158
6,unet,0.11743309146241986,9.121361788171921,0.8497057101641693,0.08271656073901774,0.0,0.23366899693554097,7.793454473668879,0.2868596532128074,0.07506594813682817,0.0,0.037532974034547806,24.094816207885742,0.6108796788887544,0.03447161916304718
7,unet,0.12668399446827433,8.836931715916544,0.8098443957168038,0.08027087312436453,0.0,0.2825493495572697,7.364185992154208,0.4895847716114738,0.06874601224606687,0.0,0.03437300630929795,24.0938739343123,0.5640720349821178,0.030266909589144318
8,unet,0.15205591824585504,8.64660258188735,0.7948413564667215,0.0785176122873804,0.0,0.28746384328061886,6.802010375803167,0.14516607861627231,0.06656844321299683,0.0,0.03328422153876586,24.213743123141203,0.5936727575280449,0.03656524194573814
9,unet,0.15582416904750315,8.460066791868558,0.7663318492798474,0.07693735004341515,0.0,0.2603724964640357,6.869459052519365,0.23649658885869113,0.06632962463931603,0.0,0.03316481223499233,24.20859839699485,0.6261557514017279,0.04202275787564841
10,unet,0.11649968558718471,8.445005249803083,0.82669515100165,0.07618310133906177,0.0,0.31062468073584815,8.016138956763527,0.4730143671685999,0.0754312454638156,0.0,0.03771562281657349,23.591770854863253,0.45784447409889917,0.03331130130047148
