epoch,variant,train_loss_d,train_loss_g,train_loss_g_gan,train_loss_g_l1,train_loss_geom,val_loss_d,val_loss_g,val_loss_g_gan,val_loss_g_l1,val_loss_geom,val_mae,val_psnr,val_ssim,val_rotation_error
1,proposed,0.12142916292931041,19.52926458929577,0.8844368390358277,0.18112500838554688,0.053232696668727555,0.34782375892003375,9.405553067939868,0.5645059044810309,0.08519178828683452,0.0321868347759912,0.04259589422440183,21.354663017867267,0.38675813366105594,0.03218683485697577
2,proposed,0.14279316751164023,10.519365140121348,0.7812229361738602,0.09533903448686112,0.02042388042475838,0.2874955666669901,9.07424943688987,0.5316382106663524,0.08270584230405698,0.027202702383848205,0.041352921138531056,21.961231749990713,0.3792638120012007,0.027202702451335346
3,proposed,0.11485510389490501,10.024441151723375,0.8974215041873229,0.08938872536821087,0.01881471871785874,0.29882923394873523,7.883977655051411,0.4463333928066751,0.07294677686540113,0.014296661313299252,0.036473388365213424,24.106184987054355,0.5705046471262324,0.01429666134029411
4,proposed,0.06470996868477141,9.71371598835409,0.9697965244579054,0.08585507330233164,0.01584120875183683,0.3013041917828546,7.367827584778053,0.21873989949623743,0.07015653559263202,0.01334341129531031,0.03507826789079801,24.47826485702957,0.5870537169385648,0.013343411322305168
5,proposed,0.04285272891313708,9.307209188920739,0.9707523876950689,0.08193021806052131,0.014343496670361854,0.30367395972860034,7.435635110606318,0.4121268043915431,0.06898218849538892,0.012528947777236286,0.034491094220699604,24.400621842646945,0.5620834488367689,0.012528947824477285
6,proposed,0.04695139450010891,9.2413901134129,1.0003557901312834,0.08084342547141722,0.015669174696298412,0.2970182414072147,7.546777044517406,0.492614202093387,0.06933387714451637,0.012077513697516659,0.0346669383428019,24.365989885468412,0.5861415545577588,0.012077513663773087
7,proposed,0.017893037655098486,9.06976428345172,0.9939712869737597,0.07930086376349421,0.014570666606245685,0.3061518552510635,7.939027267953624,0.40464706589346344,0.07370493277583433,0.016388687899039276,0.03685246661737345,23.952629307042,0.48755978749714035,0.01638868787204442
8,proposed,0.04382667014711829,8.849794426103578,0.9571847001185817,0.07743902564266303,0.014870711303159704,0.2972869153903878,7.081716921018518,0.4782771366661873,0.0648178647717704,0.012165329823999302,0.032408932331895485,24.671748651974443,0.5950073260759962,0.012165329844245443
9,proposed,0.039963319550954945,8.708426030012813,0.9730547259758858,0.07582020376176729,0.015335096875681494,0.2869898443636687,7.395840019419573,0.4087009093035822,0.06843956848741442,0.01431822880724634,0.03421978431119435,24.415990770726964,0.597265722958938,0.014318228854487339
10,proposed,0.07137322114325081,8.83615074714605,0.9270761126421229,0.07741226038358508,0.01678486260837012,0.29197563230991364,8.02699775626694,0.4441024758245634,0.07397221007208893,0.01856742290429015,0.03698610496855732,23.790554257406704,0.45593962721202685,0.01856742290429015
11,proposed,0.10021603489073715,8.845509299396598,0.9151292298342625,0.07740983187499707,0.018939687741281342,0.26622120150621387,7.011175145273623,0.37436010720937146,0.06466663129411745,0.017015190315905256,0.03233331548508959,24.704727539117787,0.6007921224918918,0.017015190356397543
12,proposed,0.14930833341302283,8.601885746865378,0.7905747188088641,0.07594236668987867,0.02170743846273335,0.27323955038319464,6.907113089077715,0.16467304182225379,0.06551686844424061,0.019075322619544855,0.03275843441108431,24.664480288823444,0.6265219452156536,0.019075322592549997
13,proposed,0.20077601850311524,8.53756500160607,0.7190793196867852,0.07576771007075797,0.02417146666043431,0.28260047453037207,6.807859845783399,0.3846242090930109,0.06213395788833715,0.02098398555772028,0.031066978917173717,24.902527211368948,0.6272111847132876,0.020983985638704853
14,proposed,0.16084357409527267,8.30178065195571,0.75741375977323,0.0728900355633593,0.025536330199263393,0.2918287524278613,6.85991502844769,0.4745146370884301,0.061548833586815475,0.023051702606397263,0.030774416901387165,24.758049301479172,0.6524515890556833,0.02305170264688955
15,proposed,0.13462873686608062,8.235700335815876,0.7761204365375758,0.07195082102922627,0.0264497825427212,0.3568967852903449,7.965911571530328,0.7051883141199747,0.07021888785496139,0.023883441814045975,0.035109444062454975,23.94962015359298,0.5407484941508459,0.023883441787051117
16,proposed,0.14031973005320034,8.364777697263843,0.7910576710463876,0.07282394255055999,0.029132574511161687,0.28788450057955756,7.217087766398555,0.4610016905311225,0.06484311030826707,0.027177504155838837,0.0324215552351181,24.401549463686734,0.6137999594211578,0.027177504142341408
17,proposed,0.12918194603637187,8.339845399786956,0.8032160162055579,0.07223781029673389,0.03128483338131957,0.28325589281925256,6.895019292831421,0.5451908314573592,0.06126664209085098,0.022316425809285778,0.03063332088345635,24.655900208846383,0.6250699263983879,0.02231642579578835
18,proposed,0.11194745376434205,8.207823363533855,0.8432531798679899,0.07050419400316955,0.03141507916968234,0.28786852091982745,6.59777105372885,0.4761593503796536,0.05891784186056559,0.02298275061437617,0.029458920835800793,24.886969915334728,0.6557082270366558,0.02298275064137103
19,proposed,0.09643584648895002,8.042057862246994,0.8429429106359935,0.06876755723335447,0.03223592170724904,0.3890533589798471,7.045667734698973,0.755012786042863,0.060340387449748276,0.02566161705855874,0.030170193657386993,24.72457877103833,0.6264554078596226,0.025661617099051025
20,proposed,0.1118658921021941,7.978326077008769,0.8356054390433931,0.06825460232522366,0.031726043086743705,0.27875227470328845,7.077173312505086,0.39552307258481567,0.06358414035344469,0.032323620430585266,0.03179207025770692,23.855246970618982,0.6141328854837279,0.032323620363098125
21,proposed,0.10145528604663963,7.953927461248245,0.8347455432543355,0.06792280485812766,0.03269014582309845,0.273033919757691,6.679207176401995,0.34695623231970746,0.06047489145851653,0.028476179644897365,0.030237445675268555,24.56139576607856,0.6622122634148252,0.028476179739379364
22,proposed,0.07793567869744271,7.863222713888127,0.8849129860092254,0.06669703474009994,0.030860624799545665,0.3544189787429312,6.609027914378954,0.6472249074258666,0.05745718234043191,0.02160847650004038,0.028728591251200523,24.960568987804912,0.6605026996222095,0.02160847650004038
23,proposed,0.07443789815203879,7.725275871527456,0.9034488337100858,0.06521026488311969,0.030080055097376344,0.32801116290299787,6.617430320684461,0.6269253332545792,0.057517960856574166,0.023870889637349308,0.028758980549763943,24.850293086922687,0.6595548035010047,0.023870889502375023
24,proposed,0.07117465358519805,7.673990298361674,0.9139287715410664,0.0645093207050414,0.030912945305343963,0.30376094169374823,6.580625378567239,0.40568671753441077,0.058909869307409164,0.02839517640624789,0.029454934734689152,24.829130155452784,0.6766035751156185,0.02839517640624789
25,proposed,0.05697820383892225,7.631822599981823,0.9377508206959189,0.063776656958091,0.03164060804041198,0.3687615636466206,6.600985502851183,0.7230205142843551,0.056310306505664535,0.024693434045690556,0.02815515333381684,24.948503141817838,0.6629096561152003,0.02469343403219313
26,proposed,0.08040021684863706,7.53784111120405,0.8978288400999821,0.06310604936885138,0.032940730683668686,0.28468328541603644,6.7485847922338955,0.4248394776081693,0.06015368826363398,0.030837649533498115,0.030076844347775845,24.44001503612684,0.6620142980330233,0.030837649533498115
27,proposed,0.05947613688253791,7.430219493643211,0.9051687792215469,0.062084050346029936,0.03166456535512949,0.2610825807719991,6.455576872480089,0.39835728553758154,0.05792824438084727,0.026439513862672924,0.028964122203921062,24.94558990865514,0.6920341076194376,0.026439513660211494
28,proposed,0.07398155187494564,7.355632865515939,0.9021881091116118,0.061275917057790896,0.032585309247357135,0.4014515211616737,6.698994235716004,0.8158446157324142,0.05637377748886744,0.024577184944697048,0.028186888622956863,25.084154519481935,0.6865808235994284,0.024577184958194477
29,proposed,0.0782320121792655,7.420155462557382,0.9073871418181128,0.06179405444294867,0.03333628861519107,0.377871378392413,6.72026532974796,0.7281431560067163,0.056971216061408966,0.029500054559953835,0.028485607922725056,24.87867802813433,0.6993274926275447,0.02950005423601555
30,proposed,0.08303501822367093,7.242311884887027,0.8783499683341841,0.06020090024727975,0.03438718944624828,0.2967875640893328,6.4749801746313125,0.5128775787526283,0.05652084727974042,0.031001789184908073,0.02826042363987021,25.031868875890538,0.6953934152489123,0.031001789036436356
